                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5813,                 1.4096,                 1.6722,                0.51641,                0.57252,                0.58822,                0.27688,                 1.8339,                 1.5723,                 2.0274,               0.008911,               0.008911,               0.008911
                     35,                 1.5758,                 1.4209,                 1.6791,                0.51608,                0.58875,                0.60756,                0.27944,                  1.762,                 1.5393,                 1.9903,               0.008878,               0.008878,               0.008878
                     36,                 1.5815,                 1.4199,                 1.6951,                0.72846,                0.58633,                0.66487,                 0.3166,                 1.7117,                 1.4915,                  1.957,               0.008845,               0.008845,               0.008845
                     37,                 1.5967,                 1.4067,                 1.6886,                0.71197,                0.52795,                0.60616,                0.28287,                 1.8242,                 1.5561,                 2.0271,               0.008812,               0.008812,               0.008812
                     38,                 1.5744,                 1.4085,                 1.6778,                0.56848,                0.53336,                 0.5818,                0.27125,                 1.8376,                  1.612,                 2.0179,               0.008779,               0.008779,               0.008779
                     39,                  1.584,                    1.4,                  1.678,                0.56366,                0.47197,                0.52398,                0.24041,                 1.9163,                 1.6949,                 2.0686,               0.008746,               0.008746,               0.008746
                     40,                  1.564,                 1.3707,                 1.6583,                0.50953,                 0.5856,                0.56974,                0.26828,                 1.8278,                 1.6298,                 1.9816,               0.008713,               0.008713,               0.008713
                     41,                 1.5688,                 1.3736,                 1.6756,                0.52816,                 0.5323,                0.59712,                  0.284,                 1.8306,                 1.5787,                 2.0153,                0.00868,                0.00868,                0.00868
                     42,                 1.5473,                 1.3802,                 1.6634,                0.56876,                 0.5843,                0.61785,                0.27927,                 1.8191,                 1.5417,                 2.0093,               0.008647,               0.008647,               0.008647
                     43,                 1.5533,                 1.4009,                 1.6657,                0.58745,                0.56042,                0.56691,                0.27433,                  1.767,                 1.6318,                 1.9621,               0.008614,               0.008614,               0.008614
                     44,                 1.5463,                 1.3499,                 1.6546,                0.63672,                 0.4703,                0.52671,                0.25244,                  1.886,                 1.7083,                 2.0502,               0.008581,               0.008581,               0.008581
                     45,                 1.5292,                 1.3435,                  1.633,                 0.7362,                0.57645,                0.67136,                0.32329,                 1.6953,                 1.4727,                 1.9261,               0.008548,               0.008548,               0.008548
                     46,                 1.5545,                 1.3406,                 1.6611,                0.53515,                0.60021,                0.58641,                0.27817,                 1.7988,                 1.5292,                 2.0077,               0.008515,               0.008515,               0.008515
                     47,                 1.5621,                 1.3513,                 1.6493,                0.63654,                0.57345,                0.61504,                0.28897,                  1.753,                 1.5128,                 2.0189,               0.008482,               0.008482,               0.008482
                     48,                 1.5309,                 1.3462,                 1.6362,                0.55012,                0.48999,                 0.5136,                0.22839,                 1.8846,                 1.7996,                 2.0904,               0.008449,               0.008449,               0.008449
                     49,                 1.5395,                 1.3593,                 1.6586,                0.56045,                 0.6153,                0.62745,                0.30008,                 1.7429,                 1.5329,                 1.9496,               0.008416,               0.008416,               0.008416
                     50,                 1.5473,                 1.3449,                 1.6336,                0.54919,                0.54419,                0.60979,                0.30196,                 1.7246,                 1.4901,                 1.9109,               0.008383,               0.008383,               0.008383
                     51,                 1.4985,                 1.3291,                 1.6253,                0.57711,                0.57467,                0.63819,                  0.321,                 1.6825,                 1.6632,                 1.9044,                0.00835,                0.00835,                0.00835
                     52,                 1.5236,                 1.3242,                 1.6396,                0.46738,                0.51784,                0.49685,                0.24003,                 1.8713,                 1.7611,                 2.0093,               0.008317,               0.008317,               0.008317
                     53,                 1.5328,                 1.3225,                 1.6368,                0.54529,                0.64538,                0.65264,                0.33463,                  1.682,                 1.4218,                  1.882,               0.008284,               0.008284,               0.008284
                     54,                 1.5312,                 1.3204,                 1.6385,                0.62395,                0.59156,                0.67157,                0.32083,                 1.6954,                 1.4091,                 1.8924,               0.008251,               0.008251,               0.008251
                     55,                 1.5129,                 1.3416,                 1.6415,                0.59619,                0.61518,                0.62807,                0.31576,                 1.6981,                 1.4851,                 1.9347,               0.008218,               0.008218,               0.008218
                     56,                 1.5431,                  1.334,                 1.6365,                0.63314,                0.52668,                0.56612,                0.26473,                 1.8759,                 1.5846,                 1.9954,               0.008185,               0.008185,               0.008185
                     57,                  1.521,                 1.3086,                 1.6374,                0.58279,                0.52231,                0.56395,                0.27884,                 1.8032,                 1.6558,                 1.9909,               0.008152,               0.008152,               0.008152
