                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6194,                 1.4442,                 1.6787,                0.58637,                0.50877,                0.53064,                0.24493,                 1.8785,                 1.7935,                 1.9319,               0.008911,               0.008911,               0.008911
                     35,                 1.6195,                 1.4641,                 1.6763,                 0.6048,                0.56446,                0.58089,                0.25677,                 1.8353,                 1.6312,                 1.9491,               0.008878,               0.008878,               0.008878
                     36,                 1.6266,                 1.4596,                 1.6804,                 0.6038,                 0.5106,                0.56609,                0.27163,                 1.7743,                  1.648,                 1.9073,               0.008845,               0.008845,               0.008845
                     37,                 1.6086,                 1.4512,                 1.6667,                0.62868,                0.52655,                0.55201,                0.24657,                 1.8477,                 1.7407,                 1.9575,               0.008812,               0.008812,               0.008812
                     38,                 1.6142,                 1.4541,                 1.6699,                0.57628,                0.59953,                0.60177,                0.28559,                 1.7834,                 1.5879,                 1.9332,               0.008779,               0.008779,               0.008779
                     39,                 1.5919,                 1.4297,                 1.6627,                0.57189,                0.61287,                0.62262,                0.28406,                 1.8204,                 1.6427,                 1.9163,               0.008746,               0.008746,               0.008746
                     40,                 1.6056,                  1.439,                 1.6567,                0.56609,                0.57957,                0.60556,                0.29242,                 1.7475,                 1.5565,                  1.872,               0.008713,               0.008713,               0.008713
                     41,                 1.5893,                 1.4328,                 1.6646,                0.34438,                0.18589,                0.19082,                0.07383,                 2.6724,                 2.9668,                 2.7691,                0.00868,                0.00868,                0.00868
                     42,                 1.5895,                 1.4311,                 1.6623,                0.57405,                0.57732,                0.60437,                0.29423,                 1.6989,                 1.6029,                 1.8516,               0.008647,               0.008647,               0.008647
                     43,                 1.5932,                 1.4279,                  1.663,                0.55087,                0.52982,                0.60732,                  0.298,                  1.723,                 1.5446,                 1.8859,               0.008614,               0.008614,               0.008614
                     44,                 1.5919,                 1.4171,                 1.6525,                0.43119,                0.44179,                 0.4299,                0.20522,                 2.0414,                 1.9359,                 2.0711,               0.008581,               0.008581,               0.008581
                     45,                 1.5576,                 1.3984,                 1.6286,                0.72508,                0.53912,                0.60387,                0.28756,                 1.8036,                 1.5126,                 1.9179,               0.008548,               0.008548,               0.008548
                     46,                 1.5834,                 1.3884,                 1.6481,                0.63508,                0.59141,                0.65906,                0.33404,                  1.656,                 1.4624,                 1.8014,               0.008515,               0.008515,               0.008515
                     47,                 1.5612,                 1.4038,                  1.653,                0.56799,                0.58299,                0.61048,                0.30668,                 1.7232,                  1.518,                  1.855,               0.008482,               0.008482,               0.008482
                     48,                 1.5724,                 1.3987,                 1.6408,                0.58997,                0.62136,                0.64376,                0.31664,                 1.6741,                 1.4892,                 1.8405,               0.008449,               0.008449,               0.008449
                     49,                 1.5906,                 1.4057,                 1.6529,                0.55813,                0.63855,                0.64239,                0.31945,                 1.6656,                 1.5129,                 1.8255,               0.008416,               0.008416,               0.008416
                     50,                 1.5741,                 1.4008,                 1.6403,                0.56256,                0.47586,                0.48726,                0.23347,                  1.898,                 1.7779,                 2.0197,               0.008383,               0.008383,               0.008383
                     51,                 1.5571,                 1.3855,                 1.6228,                0.48614,                0.35973,                0.31973,                0.16153,                 2.0666,                 2.5063,                 2.3546,                0.00835,                0.00835,                0.00835
                     52,                 1.5468,                 1.3984,                 1.6274,                0.70734,                0.53133,                0.60553,                0.29385,                 1.7714,                  1.584,                 1.9003,               0.008317,               0.008317,               0.008317
                     53,                 1.5605,                 1.3763,                 1.6273,                0.75085,                 0.5477,                0.64288,                0.32748,                 1.6513,                 1.5083,                 1.7837,               0.008284,               0.008284,               0.008284
                     54,                 1.5444,                 1.3722,                 1.6294,                0.67871,                0.49681,                0.53556,                0.25867,                 1.8367,                 1.6391,                 1.9018,               0.008251,               0.008251,               0.008251
                     55,                 1.5339,                 1.3645,                 1.6073,                 0.5457,                0.61706,                0.62657,                0.32124,                 1.6681,                 1.5581,                  1.812,               0.008218,               0.008218,               0.008218
                     56,                 1.5402,                 1.3891,                 1.6197,                0.69726,                 0.5691,                0.63852,                0.31381,                 1.6985,                 1.5302,                 1.8436,               0.008185,               0.008185,               0.008185
                     57,                  1.543,                 1.3645,                 1.6245,                0.67134,                0.56727,                0.66704,                 0.3363,                 1.6402,                 1.4807,                 1.8106,               0.008152,               0.008152,               0.008152
                     58,                 1.5266,                 1.3505,                 1.6151,                0.57131,                0.54804,                 0.5733,                0.27954,                 1.7848,                 1.6022,                 1.9466,               0.008119,               0.008119,               0.008119
                     59,                 1.5567,                 1.3698,                 1.6244,                0.68507,                0.60071,                0.63035,                0.33298,                 1.6493,                 1.4825,                 1.8425,               0.008086,               0.008086,               0.008086
                     60,                 1.5511,                 1.3552,                 1.5995,                0.59396,                0.61277,                0.64788,                0.32652,                 1.6185,                 1.5093,                 1.7876,               0.008053,               0.008053,               0.008053
